ID,Ten,Mon1,Mon2,Mon3,TongDiem,NV1,NV2
361,NGUYỄN THỊ QUỲNH MAI,8.25,6.5,9.75,24.5,1,2
362,TRẦN THỊ LÝ,6.25,7.5,6.75,20.5,5,6
363,NGUYỄN HỮU CÔNG,6.25,7.5,8.75,22.5,5,6
364,BÙI PHƯƠNG THẢO,8.25,7.5,9.75,25.5,4,5
365,PHẠM TRẦN THẢO NGỌC,9.25,7.5,8.75,25.5,5,6
366,NGUYỄN THỊ THU HÒA,7.25,8.5,7.75,23.5,1,2
367,PHẠM VƯƠNG PHƯƠNG ANH,9.25,9.5,8.75,27.5,2,3
368,ĐOÀN QUỐC HUY,7.25,8.5,7.75,23.5,2,3
369,NGUYỄN THU HÀ,9.25,7.5,9.75,26.5,3,4
370,NGUYỄN THỦY PHƯƠNG,8.25,7.5,9.75,25.5,2,3
371,TRẦN CÔNG BẰNG,8.25,9.5,8.75,26.5,5,6
372,BÙI LAN CHI,7.25,6.5,7.75,21.5,2,3
373,NGUYỄN MINH CHÂU,6.25,6.5,7.75,20.5,3,4
374,PHẠM THỊ LAN CHI,8.25,9.5,8.75,26.5,3,4
375,TRƯƠNG YẾN CHI,6.25,8.5,8.75,23.5,4,5
376,LÝ THỊ XUÂN MAI,9.25,6.5,8.75,24.5,2,3
377,ĐỖ ĐÌNH LONG,9.25,9.5,7.75,26.5,3,4
378,NGUYỄN THẢO NGÂN,8.25,7.5,8.75,24.5,2,3
379,ĐÀM THẾ ANH,6.25,7.5,7.75,21.5,1,2
380,NGUYỄN MAI PHƯƠNG,9.25,7.5,9.75,26.5,3,4
381,LÊ PHƯƠNG THÚY,9.25,7.5,7.75,24.5,5,6
382,NGUYỄN THỊ THU TRANG,6.25,7.5,7.75,21.5,5,6
383,TRẦN MINH NHÂN,6.25,9.5,9.75,25.5,4,5
384,NGUYỄN HÀ PHƯƠNG,9.25,6.5,9.75,25.5,4,5
385,NGUYỄN THỊ PHƯƠNG ANH,7.25,9.5,8.75,25.5,1,2
386,VŨ MINH PHƯƠNG,8.25,9.5,6.75,24.5,5,6
387,NGUYỄN MỸ TIÊN,6.25,8.5,7.75,22.5,5,6
388,TRẦN PHƯƠNG ANH,8.25,6.5,9.75,24.5,3,4
389,NGUYỄN HẢI LONG,6.25,7.5,7.75,21.5,1,2
390,VŨ THIÊN HƯƠNG,8.25,9.5,6.75,24.5,1,2
391,NGUYỄN PHƯƠNG HẠNH,6.25,8.5,9.75,24.5,1,2
392,NGUYỄN THỊ HƯƠNG LY,9.25,8.5,7.75,25.5,1,2
393,NGUYỄN ANH TÚ,6.25,7.5,6.75,20.5,2,3
394,NGUYỄN PHƯƠNG LINH,7.25,7.5,9.75,24.5,5,6
395,NGUYỄN THỊ KIM CHI,7.25,9.5,9.75,26.5,5,6
396,HOÀNG XUÂN HƯNG,6.25,8.5,7.75,22.5,5,6
397,NGUYỄN THANH HẰNG,7.25,8.5,8.75,24.5,1,2
398,ĐỖ SƠN NAM,6.25,6.5,9.75,22.5,4,5
399,ĐÀO MAI HƯƠNG,9.25,8.5,9.75,27.5,5,6
400,LƯU THỊ HẢI LINH,7.25,7.5,6.75,21.5,2,3
401,ĐÀO TỐ NHI,6.25,9.5,9.75,25.5,2,3
402,TRẦN MAI PHƯỢNG,7.25,8.5,7.75,23.5,4,5
403,NGUYỄN THỊ NGỌC HUYỀN,9.25,9.5,9.75,28.5,5,6
404,NGUYỄN THỊ QUỲNH ANH,6.25,8.5,8.75,23.5,4,5
405,LÊ THỊ NHẬT LỆ,7.25,9.5,6.75,23.5,1,2
406,PHẠM KIỀU ANH,9.25,9.5,8.75,27.5,2,3
407,NGUYỄN THU HUYỀN,7.25,7.5,7.75,22.5,5,6
408,NGUYỄN HÀ TRANG,6.25,8.5,6.75,21.5,5,6
409,PHÍ ĐÌNH THÀNH,8.25,9.5,6.75,24.5,4,5
410,PHẠM THU THỦY,7.25,8.5,8.75,24.5,4,5
411,NGUYỄN TUYẾT LINH,9.25,6.5,9.75,25.5,3,4
412,VŨ XUÂN LUẬT,8.25,9.5,6.75,24.5,2,3
413,NGUYỄN TRỊNH QUANG MINH,8.25,6.5,6.75,21.5,2,3
414,TẠ ĐĂNG TRÍ,9.25,7.5,7.75,24.5,5,6
415,TRỊNH THỊ HOÀI,6.25,8.5,6.75,21.5,2,3
416,HOÀNG TUẤN,7.25,8.5,7.75,23.5,2,3
417,TRẦN HẢI HÀ,9.25,9.5,9.75,28.5,1,2
418,NGUYỄN PHÚ HƯNG,9.25,8.5,6.75,24.5,2,3
419,ĐỒNG VIỆT DŨNG,9.25,8.5,9.75,27.5,4,5
420,NGUYỄN THỊ TUYỀN,6.25,8.5,7.75,22.5,5,6
421,LÂM HOÀNG ANH,7.25,9.5,6.75,23.5,2,3
422,PHẠM THỊ MĨ LINH,6.25,8.5,9.75,24.5,3,4
423,NGUYỄN MINH PHƯƠNG,9.25,7.5,9.75,26.5,4,5
424,TRẦN THỊ THÙY LINH,8.25,6.5,7.75,22.5,1,2
425,VŨ THỊ THÙY LINH,6.25,8.5,8.75,23.5,4,5
426,NGUYỄN VÂN ANH,6.25,7.5,9.75,23.5,5,6
427,LÊ THÚY HUYỀN,8.25,7.5,9.75,25.5,5,6
428,NGUYỄN HUY ANH,6.25,9.5,6.75,22.5,2,3
429,ĐINH HẰNG PHƯƠNG,7.25,6.5,8.75,22.5,4,5
430,NGUYỄN TRUNG KIÊN,8.25,8.5,7.75,24.5,3,4
431,VŨ THỊ NHƯ QUỲNH,7.25,9.5,9.75,26.5,2,3
432,NGUYỄN THỊ TRANG ANH,6.25,9.5,9.75,25.5,3,4
433,LÊ HOÀNG TÙNG LÂM,6.25,6.5,9.75,22.5,3,4
434,NGUYỄN THỊ KIỀU,6.25,6.5,6.75,19.5,1,2
435,NGUYỄN THỊ HUỆ,7.25,7.5,7.75,22.5,1,2
436,NGUYỄN THỊ HỒNG ĐIỆP,8.25,6.5,8.75,23.5,5,6
437,HOÀNG DIỆP PHI,8.25,9.5,8.75,26.5,1,2
438,NGUYỄN THỊ MAI PHƯƠNG,9.25,7.5,6.75,23.5,3,4
439,NGUYỄN THU TRÀ,8.25,6.5,8.75,23.5,4,5
440,TRẦN THỊ HIỀN ANH,9.25,8.5,9.75,27.5,3,4
441,NGUYỄN TRUNG HIẾU,6.25,6.5,6.75,19.5,5,6
442,NGUYỄN THỊ ANH THƯ,7.25,7.5,9.75,24.5,5,6
443,NGUYỄN THỊ HƯƠNG QUỲNH,6.25,9.5,9.75,25.5,3,4
444,NGUYỄN VÂN HÀ,8.25,9.5,6.75,24.5,4,5
445,NGUYỄN LÊ DIỆP LINH,7.25,9.5,9.75,26.5,3,4
446,LÊ THỊ THANH VÂN,8.25,7.5,7.75,23.5,4,5
447,NGUYỄN TÚ UYÊN,8.25,8.5,7.75,24.5,4,5
448,BÙI THỊ THU TRANG,7.25,8.5,8.75,24.5,1,2
449,HOÀNG THỊ HÀ VI,6.25,8.5,9.75,24.5,2,3
450,ĐÀM THỊ HỒNG THẢO,7.25,9.5,8.75,25.5,4,5
451,NGUYỄN QUANG TÂM,9.25,6.5,6.75,22.5,2,3
452,CAO NHẬT MINH,8.25,9.5,9.75,27.5,3,4
453,NGUYỄN HUY HOÀNG,9.25,8.5,7.75,25.5,5,6
454,DƯƠNG THỊ ÁNH,7.25,9.5,7.75,24.5,3,4
455,HOÀNG THÙY TRANG,6.25,8.5,8.75,23.5,3,4
456,PHẠM DIỆU HOA,8.25,8.5,9.75,26.5,1,2
457,VÕ SƠN HẢI,8.25,6.5,7.75,22.5,4,5
458,DƯƠNG LÊ MINH HOÀNG,7.25,8.5,7.75,23.5,5,6
459,TRẦN THỊ PHƯƠNG ANH,9.25,8.5,6.75,24.5,1,2
460,ĐỒNG THỊ LƯƠNG ANH,7.25,8.5,7.75,23.5,4,5
461,PHẠM THỊ KIM NGÂN,7.25,6.5,8.75,22.5,4,5
462,TRẦN THỊ THÙY LINH,9.25,8.5,6.75,24.5,2,3
463,HÀ KHÁNH LINH,7.25,9.5,7.75,24.5,3,4
464,MAI ĐÌNH HIẾU,9.25,8.5,6.75,24.5,2,3
465,NGUYỄN HỒNG ANH,9.25,8.5,8.75,26.5,3,4
466,NGUYỄN THU TRANG,9.25,8.5,7.75,25.5,5,6
467,NGUYỄN NGỌC MỸ HÀ,8.25,6.5,7.75,22.5,1,2
468,NGUYỄN THỊ QUÝ,6.25,6.5,7.75,20.5,4,5
469,BÙI LÊ NGỌC ANH,9.25,9.5,7.75,26.5,1,2
470,NGUYỄN PHƯƠNG THẢO,8.25,6.5,9.75,24.5,4,5
471,LÊ THỊ HÀ PHƯƠNG,9.25,6.5,8.75,24.5,2,3
472,ĐẶNG HOÀNG ANH,6.25,7.5,6.75,20.5,2,3
473,DƯƠNG HOÀNG ĐỨC HUY,8.25,9.5,7.75,25.5,5,6
474,NGUYỄN THÀNH DƯƠNG,9.25,6.5,7.75,23.5,5,6
475,TRƯƠNG VĂN MINH,6.25,8.5,7.75,22.5,1,2
476,VŨ ĐỨC ANH,7.25,8.5,8.75,24.5,2,3
477,NGÔ MINH ÁNH,8.25,7.5,8.75,24.5,5,6
478,LÊ ĐÌNH THÀNH,6.25,8.5,7.75,22.5,4,5
479,NGUYỄN NGỌC MỸ LINH,7.25,8.5,9.75,25.5,1,2
480,DƯƠNG QUANG TÙNG,8.25,7.5,8.75,24.5,5,6
481,NGUYỄN MINH ANH,7.25,8.5,8.75,24.5,1,2
482,NGUYỄN THU HUYỀN,9.25,7.5,6.75,23.5,1,2
483,NÔNG CÔNG CAO,9.25,8.5,8.75,26.5,1,2
484,NGHIÊM XUÂN MẠNH,9.25,9.5,7.75,26.5,1,2
485,VŨ THỊ HOÀNG HÀ,8.25,6.5,7.75,22.5,1,2
486,PHAN HỒNG HẠNH,9.25,8.5,7.75,25.5,4,5
487,VŨ MẠNH CƯỜNG,7.25,8.5,9.75,25.5,3,4
488,PHẠM THU THẢO,8.25,7.5,9.75,25.5,2,3
489,VŨ THỊ KHÁNH LINH,6.25,6.5,9.75,22.5,4,5
490,NGUYỄN VĂN QUANG,6.25,8.5,9.75,24.5,1,2
491,NGUYỄN MINH HIẾU,7.25,8.5,7.75,23.5,5,6
492,PHẠM THANH AN,9.25,9.5,8.75,27.5,3,4
493,LÊ THỊ BẢO TRÂM,6.25,7.5,7.75,21.5,4,5
494,MAI THANH SƠN,6.25,6.5,6.75,19.5,5,6
495,ĐỖ NHẬT LONG,7.25,8.5,6.75,22.5,3,4
496,NGUYỄN LƯƠNG NGUYỆT HÀ,6.25,8.5,6.75,21.5,3,4
497,PHAN THANH TUẤN,9.25,7.5,6.75,23.5,1,2
498,VŨ HỒNG ANH,6.25,6.5,8.75,21.5,2,3
499,NGUYỄN TÚ QUYÊN,9.25,8.5,6.75,24.5,2,3
500,TRẦN NGUYỄN MINH ĐỨC,8.25,8.5,8.75,25.5,3,4
501,NGUYỄN MINH PHƯƠNG THẢO,6.25,7.5,9.75,23.5,2,3
502,TRẦN ĐÌNH HOAN,6.25,9.5,7.75,23.5,4,5
503,ĐOÀN NỮ QUỲNH AN,8.25,9.5,6.75,24.5,1,2
504,NGUYỄN THỊ THANH HOA,9.25,6.5,6.75,22.5,3,4
505,TRẦN ANH THƯ,9.25,7.5,9.75,26.5,2,3
506,NGUYỄN ĐỨC HUY,9.25,9.5,6.75,25.5,2,3
507,NGUYỄN THỊ THU THỦY,6.25,9.5,6.75,22.5,5,6
508,PHẠM MINH HẰNG,7.25,8.5,7.75,23.5,4,5
509,DIÊM HÀ PHONG,8.25,8.5,7.75,24.5,3,4
510,DƯƠNG ĐĂNG QUANG,9.25,8.5,9.75,27.5,2,3
511,NGUYỄN TIẾN THÀNH,6.25,9.5,6.75,22.5,5,6
512,PHAN ĐỨC HIẾU,8.25,7.5,9.75,25.5,5,6
513,ĐINH MINH NGỌC,6.25,6.5,6.75,19.5,5,6
514,ĐÀO THUỲ LINH,9.25,8.5,9.75,27.5,1,2
515,NGUYỄN MAI QUỲNH,7.25,6.5,6.75,20.5,4,5
516,KIỀU THU HẰNG,6.25,8.5,6.75,21.5,1,2
517,NÔNG HỒNG DIỆP,7.25,7.5,7.75,22.5,2,3
518,KHÚC THỊ THU THỦY,7.25,8.5,8.75,24.5,5,6
519,ĐỖ MINH HẰNG,9.25,8.5,8.75,26.5,2,3
520,VŨ THỊ PHƯƠNG LINH,9.25,7.5,8.75,25.5,4,5
521,ĐINH THỊ NHÀN,9.25,7.5,8.75,25.5,4,5
522,TRƯƠNG TUẤN PHONG,6.25,9.5,7.75,23.5,2,3
523,NGUYỄN THÙY ANH,8.25,6.5,6.75,21.5,1,2
524,NGUYỄN PHƯƠNG NGÂN,9.25,6.5,8.75,24.5,5,6
525,ĐẶNG BÙI PHƯƠNG LINH,6.25,8.5,6.75,21.5,4,5
526,NGUYỄN PHƯƠNG THẢO,6.25,8.5,8.75,23.5,1,2
527,NGUYỄN THÙY TRANG,9.25,6.5,6.75,22.5,4,5
528,NGUYỄN LAN HƯƠNG,6.25,8.5,7.75,22.5,1,2
529,PHẠM NGỌC MAI,7.25,9.5,8.75,25.5,3,4
530,PHAN HÀ PHƯƠNG,8.25,7.5,9.75,25.5,5,6
531,NGUYỄN MINH PHƯƠNG,7.25,9.5,7.75,24.5,5,6
532,HÀ KIỀU ANH,9.25,6.5,7.75,23.5,1,2
533,VŨ THU HƯƠNG,8.25,7.5,6.75,22.5,1,2
534,NGUYỄN VIỆT HƯƠNG,7.25,9.5,9.75,26.5,1,2
535,MẠC HÀ MY,6.25,8.5,9.75,24.5,4,5
536,NGUYỄN HÀ THU,7.25,6.5,7.75,21.5,2,3
537,NGUYỄN LINH TRANG,9.25,6.5,8.75,24.5,3,4
538,HOÀNG NGỌC ANH,7.25,6.5,8.75,22.5,5,6
539,TRƯƠNG TRUNG HIẾU,8.25,8.5,9.75,26.5,4,5
540,NGUYỄN MAI KIM,9.25,8.5,9.75,27.5,5,6
541,ĐÀO PHƯƠNG LINH,9.25,9.5,9.75,28.5,1,2
542,PHẠM THÙY LINH,9.25,7.5,9.75,26.5,1,2
543,TAN GUANG JUN,7.25,7.5,7.75,22.5,2,3
544,BÙI NGỌC DIỆP,7.25,8.5,7.75,23.5,3,4
545,TRẦN PHƯƠNG THẢO,7.25,8.5,8.75,24.5,1,2
546,ĐINH CÔNG THÀNH,7.25,9.5,7.75,24.5,1,2
547,HOÀNG THỊ XUÂN MAI,9.25,6.5,7.75,23.5,1,2
548,MAI THÙY LINH,7.25,6.5,8.75,22.5,3,4
549,NGUYỄN THỊ QUỲNH ANH,9.25,6.5,6.75,22.5,1,2
550,HOÀNG THỊ LAN ANH,9.25,8.5,6.75,24.5,3,4
551,NGUYỄN THỊ PHƯƠNG,6.25,7.5,9.75,23.5,2,3
552,NGUYỄN THẾ CÔNG,9.25,9.5,6.75,25.5,3,4
553,LÊ THỊ NGÂN HẠNH,7.25,9.5,6.75,23.5,3,4
554,NGUYỄN THỊ THANH THÚY,7.25,9.5,7.75,24.5,3,4
555,NGUYỄN THỊ HỒNG NHUNG,6.25,8.5,7.75,22.5,1,2
556,LẠI MINH NHẬT HẠ,8.25,6.5,6.75,21.5,2,3
557,VŨ THỊ MỸ DUYÊN,9.25,7.5,8.75,25.5,2,3
558,CAO MỸ LINH,6.25,9.5,8.75,24.5,4,5
559,ĐỖ HUỆ ANH,8.25,9.5,8.75,26.5,4,5
560,HOÀNG THỊ ANH MINH,9.25,7.5,8.75,25.5,5,6
561,ĐỖ TRẦN MINH CHÂU,9.25,7.5,7.75,24.5,4,5
562,PHẠM NGỌC DIỆU ANH,7.25,9.5,6.75,23.5,4,5
563,PHẠM NGỌC HÂN,8.25,6.5,8.75,23.5,3,4
564,VŨ MINH ANH,8.25,9.5,8.75,26.5,1,2
565,ĐỖ XUÂN TÙNG,8.25,7.5,8.75,24.5,3,4
566,NGUYỄN QUANG TUẤN,7.25,7.5,7.75,22.5,1,2
567,NGUYỄN ÁNH MINH,6.25,7.5,9.75,23.5,4,5
568,MAI HUYỀN TRANG,9.25,9.5,9.75,28.5,5,6
569,VŨ PHƯƠNG THẢO,8.25,7.5,6.75,22.5,2,3
570,PHAN HỒNG HẠNH,7.25,8.5,9.75,25.5,4,5
571,NGUYỄN THỊ BÍCH VÂN,8.25,7.5,9.75,25.5,1,2
572,BÙI NHẬT TRINH,9.25,9.5,7.75,26.5,3,4
573,PHẠM HÀ NHI,8.25,8.5,6.75,23.5,3,4
574,LƯƠNG NGỌC ÁNH,8.25,7.5,7.75,23.5,5,6
575,NGUYỄN THANH TRÚC,8.25,7.5,6.75,22.5,5,6
576,TRẦN NGUYỄN LÊ ANH,9.25,7.5,8.75,25.5,4,5
577,PHẠM PHƯƠNG THẢO,9.25,8.5,8.75,26.5,1,2
578,NGUYỄN TIẾN DŨNG,8.25,9.5,9.75,27.5,4,5
579,ĐỒNG PHAN MỸ LINH,8.25,9.5,9.75,27.5,4,5
580,NGUYỄN HỒNG VÂN,8.25,7.5,9.75,25.5,1,2
581,ĐỖ THỊ PHƯƠNG LINH,9.25,6.5,9.75,25.5,3,4
582,ĐÀM THỊ VÂN ANH,8.25,6.5,9.75,24.5,1,2
583,LÊ THỊ MAI ANH,9.25,9.5,6.75,25.5,3,4
584,VŨ TIẾN HƯNG,8.25,7.5,6.75,22.5,1,2
585,NGUYỄN THỊ NHẬT ANH,8.25,7.5,8.75,24.5,2,3
586,TẠ NGUYỄN LAN TRANG,7.25,8.5,9.75,25.5,5,6
587,LÊ CẨM TÚ,9.25,6.5,8.75,24.5,5,6
588,NGUYỄN THỊ LINH GIANG,6.25,9.5,9.75,25.5,4,5
589,NGUYỄN ĐỨC THỊNH,6.25,7.5,6.75,20.5,4,5
590,VŨ THỊ THÙY LINH,6.25,7.5,9.75,23.5,1,2
591,LÊ NHẬT MINH,9.25,8.5,8.75,26.5,4,5
592,TRẦN ĐẠI HIỆP,9.25,9.5,6.75,25.5,5,6
593,NINH VŨ THUỶ TIÊN,6.25,7.5,6.75,20.5,4,5
594,NGUYỄN THỊ TRANG,6.25,8.5,8.75,23.5,1,2
595,LÊ THU HÀ,6.25,9.5,9.75,25.5,4,5
596,ĐÀO BÍCH TRÀ,8.25,9.5,8.75,26.5,4,5
597,HOÀNG QUANG DUY,7.25,7.5,9.75,24.5,5,6
598,NGHIÊM HOÀNG AN,6.25,7.5,6.75,20.5,4,5
599,TOÁN MINH CHÂU,7.25,6.5,8.75,22.5,5,6
600,VŨ THỊ TRÚC QUỲNH,9.25,7.5,6.75,23.5,2,3
601,NGUYỄN PHƯƠNG LINH,9.25,6.5,8.75,24.5,5,6
602,PHAN LÊ TẤN SANG,6.25,9.5,8.75,24.5,2,3
603,TRƯƠNG NGỌC LAN,8.25,7.5,9.75,25.5,2,3
604,PHAN THỊ HẰNG,8.25,9.5,8.75,26.5,4,5
605,TRẦN TẤN PHONG,9.25,7.5,6.75,23.5,4,5
606,NGUYỄN PHƯƠNG LINH,6.25,9.5,6.75,22.5,3,4
607,NGUYỄN KHÁNH LINH,9.25,7.5,7.75,24.5,1,2
608,TRẦN ĐỨC TRUNG,7.25,9.5,6.75,23.5,1,2
609,NGUYỄN NAM SƠN,6.25,6.5,6.75,19.5,1,2
610,LƯƠNG HÀ LINH,8.25,7.5,7.75,23.5,5,6
611,NGUYỄN HỒNG ANH,8.25,9.5,6.75,24.5,4,5
612,NGUYỄN BẢO NGỌC,8.25,8.5,6.75,23.5,3,4
613,ĐÀO NGỌC MAI,9.25,9.5,7.75,26.5,3,4
614,TRẦN THÙY NHẬT NHƯ,9.25,6.5,6.75,22.5,4,5
615,TRẦN THỊ THÙY LINH,8.25,7.5,8.75,24.5,5,6
616,NGUYỄN NGỌC TRANG,8.25,9.5,8.75,26.5,1,2
617,ĐỖ NHẬT ANH,8.25,8.5,8.75,25.5,1,2
618,VĂN TRUNG HIẾU,6.25,7.5,6.75,20.5,5,6
619,ĐINH VIỆT ANH,6.25,9.5,9.75,25.5,3,4
620,VŨ LINH CHI,8.25,8.5,8.75,25.5,3,4
621,TRẦN LINH CHI,8.25,7.5,6.75,22.5,4,5
622,BÙI TRUNG KIÊN,9.25,7.5,8.75,25.5,2,3
623,NGUYỄN HOÀI LINH,6.25,9.5,8.75,24.5,2,3
624,LÊ HẢI LINH,7.25,7.5,9.75,24.5,3,4
625,NGUYỄN PHƯƠNG MAI,7.25,7.5,7.75,22.5,1,2
626,NGUYỄN THỊ NGUYỆT HẰNG,9.25,8.5,7.75,25.5,2,3
627,NGUYỄN HỒNG NGỌC,7.25,9.5,8.75,25.5,1,2
628,CHU THỊ NGỌC MAI,9.25,9.5,9.75,28.5,5,6
629,ĐOÀN THÙY DƯƠNG,6.25,9.5,8.75,24.5,1,2
630,ĐOÀN THÙY DƯƠNG,8.25,6.5,7.75,22.5,4,5
631,NGUYỄN THỊ NGỌC BÍCH,9.25,7.5,9.75,26.5,2,3
632,PHẠM TRUNG ĐỨC,9.25,6.5,9.75,25.5,3,4
633,NGÔ BÍCH THỦY,8.25,6.5,9.75,24.5,5,6
634,NGÔ TIẾN MINH,7.25,7.5,9.75,24.5,4,5
635,ĐẶNG TÚ ANH,7.25,6.5,6.75,20.5,3,4
636,NGUYỄN THẾ VINH,8.25,7.5,6.75,22.5,3,4
637,DOÃN HUYỀN TRANG,8.25,6.5,8.75,23.5,1,2
638,LÊ KHÁNH HUYỀN,7.25,7.5,7.75,22.5,2,3
639,NGUYỄN THỊ THU HOÀI,7.25,7.5,9.75,24.5,3,4
640,NGUYỄN THỊ NGỌC HÀ,6.25,9.5,8.75,24.5,1,2
641,VŨ THỊ MAI HƯƠNG,9.25,9.5,6.75,25.5,4,5
642,NGUYỄN TRƯỜNG GIANG,8.25,8.5,7.75,24.5,4,5
643,NGUYỄN HƯƠNG LINH,7.25,8.5,7.75,23.5,2,3
644,PHẠM MINH NHẬT,6.25,6.5,9.75,22.5,4,5
645,NGUYỄN QUỐC BÁCH,7.25,7.5,9.75,24.5,5,6
646,CAO TRẦN ANH DŨNG,8.25,7.5,7.75,23.5,2,3
647,ĐẶNG NGỌC ANH,8.25,6.5,7.75,22.5,3,4
648,NGUỴ THỊ QUỲNH NGA,6.25,6.5,8.75,21.5,3,4
649,PHẠM NGỌC HẢI,7.25,7.5,7.75,22.5,4,5
650,NGUYỄN NGỌC HUYỀN TRANG,7.25,8.5,7.75,23.5,2,3
651,NGUYỄN NGÔ MINH CHÂU,9.25,8.5,7.75,25.5,1,2
652,PHẠM THÙY TRANG,6.25,8.5,8.75,23.5,4,5
653,NGUYỄN HOÀNG NAM,6.25,6.5,8.75,21.5,5,6
654,NGUYỄN TRUNG KIÊN,7.25,9.5,9.75,26.5,3,4
655,PHẠM HÀ PHƯƠNG,6.25,6.5,6.75,19.5,1,2
656,PHẠM TRUNG HIẾU,9.25,9.5,9.75,28.5,4,5
657,NGUYỄN THỊ HỒNG NHUNG,8.25,7.5,9.75,25.5,3,4
658,TRẦN THÙY LINH,7.25,7.5,7.75,22.5,1,2
659,ĐOÀN PHƯƠNG LINH,8.25,9.5,8.75,26.5,4,5
660,PHẠM MINH HIẾU,6.25,8.5,6.75,21.5,3,4
661,VŨ MINH HOÀNG,9.25,6.5,8.75,24.5,4,5
662,ĐÀO THỊ YẾN MY,7.25,7.5,9.75,24.5,2,3
663,NGÔ THỊ TRÀ MY,8.25,6.5,9.75,24.5,5,6
664,TRẦN MINH HƯƠNG,8.25,7.5,9.75,25.5,5,6
665,NGUYỄN TUẤN NGHĨA,8.25,7.5,8.75,24.5,5,6
666,PHẠM THANH THUỶ,8.25,9.5,7.75,25.5,4,5
667,ĐÀO THU TRANG,9.25,8.5,9.75,27.5,5,6
668,NGUYỄN HÀ MY,9.25,8.5,8.75,26.5,4,5
669,NGUYỄN ĐỨC KHÁNH,8.25,8.5,8.75,25.5,5,6
670,TẠ HOÀNG YẾN,7.25,6.5,7.75,21.5,5,6
671,LẠI TUẤN ĐẠT,7.25,6.5,7.75,21.5,5,6
672,TRƯƠNG THẢO UYÊN,9.25,6.5,7.75,23.5,4,5
673,TRỊNH LÊ HOÀI THƯƠNG,9.25,6.5,6.75,22.5,1,2
674,CHU HÀ TRANG,8.25,9.5,8.75,26.5,1,2
675,TRẦN QUANG MINH,7.25,9.5,8.75,25.5,4,5
676,NGUYỄN PHƯƠNG THẢO,6.25,7.5,8.75,22.5,4,5
677,TẠ HỮU ĐĂNG,6.25,7.5,6.75,20.5,1,2
678,VŨ THÙY LINH,7.25,9.5,9.75,26.5,2,3
679,BÙI THU THỦY,8.25,9.5,6.75,24.5,4,5
680,NGUYỄN MINH CHÂU,8.25,9.5,7.75,25.5,3,4
681,TRỊNH QUỲNH ANH,7.25,7.5,7.75,22.5,4,5
682,PHẠM LINH CHI,9.25,6.5,7.75,23.5,4,5
683,LÂM BÍCH NGỌC,6.25,8.5,9.75,24.5,5,6
684,ĐỖ CHÍ QUỐC ANH,8.25,7.5,9.75,25.5,1,2
685,NGUYỄN ANH THƯ,8.25,9.5,7.75,25.5,5,6
686,DOÃN MAI PHƯƠNG,8.25,7.5,8.75,24.5,2,3
687,TRẦN NGUYỆT NGA,7.25,7.5,7.75,22.5,4,5
688,LÊ THU HÀ,8.25,9.5,7.75,25.5,3,4
689,LƯƠNG THỊ DIỆU LINH,6.25,9.5,9.75,25.5,2,3
690,NGUYỄN MINH CHÂU,9.25,8.5,6.75,24.5,2,3
691,VŨ ĐỨC LONG,7.25,8.5,6.75,22.5,2,3
692,NGUYỄN HỮU THẮNG,8.25,6.5,8.75,23.5,5,6
693,NGUYỄN THÚY HẰNG,6.25,6.5,7.75,20.5,4,5
694,LÊ THỊ LUYẾN,7.25,6.5,6.75,20.5,2,3
695,VŨ THÚY NGÂN,8.25,9.5,7.75,25.5,5,6
696,NGUYỄN PHƯƠNG ANH,6.25,8.5,7.75,22.5,1,2
697,TRẦN TIỂU XUÂN,6.25,7.5,9.75,23.5,5,6
698,VŨ YẾN NHI,7.25,6.5,9.75,23.5,3,4
699,LÊ XUÂN NAM,8.25,8.5,6.75,23.5,5,6
700,PHAN THỊ LINH ĐAN,6.25,9.5,8.75,24.5,4,5
701,LẠI TUẤN DŨNG,8.25,6.5,6.75,21.5,4,5
702,LÊ TRẦN KIỀU ANH,6.25,9.5,7.75,23.5,3,4
703,HÀN VŨ NGỌC QUANG,7.25,9.5,8.75,25.5,2,3
704,TRẦN THU HÀ,6.25,8.5,9.75,24.5,2,3
705,NGUYỄN NGỌC DUY,9.25,6.5,8.75,24.5,2,3
706,LÊ THÙY LINH,8.25,9.5,6.75,24.5,2,3
707,PHẠM ANH MINH,7.25,7.5,6.75,21.5,5,6
708,NGUYỄN HÀ PHƯƠNG,9.25,8.5,6.75,24.5,5,6
709,LÊ NHƯ THẢO,7.25,7.5,9.75,24.5,2,3
710,BÙI THU TRÀ,6.25,6.5,6.75,19.5,5,6
711,BÙI NGỌC KHÁNH,6.25,9.5,9.75,25.5,3,4
712,TRẦN HOÀNG LINH,7.25,8.5,6.75,22.5,4,5
713,NGUYỄN HUYỀN TRANG,8.25,7.5,9.75,25.5,4,5
714,NGUYỄN HÀ ANH,6.25,7.5,8.75,22.5,1,2
715,PHAN THỊ THANH BÌNH,9.25,8.5,9.75,27.5,4,5
716,TẠ DƯƠNG TRÀ MY,9.25,8.5,9.75,27.5,4,5
717,LÊ PHƯƠNG THẢO,7.25,9.5,7.75,24.5,3,4
718,HỒ VÂN NGA,9.25,6.5,9.75,25.5,5,6
719,PHẠM HOÀNG KHÁNH NAM,9.25,9.5,6.75,25.5,5,6
720,NGUYỄN THỊ HƯƠNG,9.25,8.5,9.75,27.5,3,4
